seed,gradient_descent_only_H,sis_elp_H,pi_elp_H
468,-3146,-3146,-2940
469,-3294,-3294,-3286
470,-2426,-2438,-2880
471,-2896,-3038,-2452
472,-2558,-2772,-2940
473,-2524,-2524,-3184
474,-3114,-3114,-2452
475,-3052,-3052,-3294
476,-3064,-2816,-3286
477,-3080,-3080,-3184
478,-3142,-3142,-2940
479,-3088,-2966,-3286
480,-2812,-2812,-3294
481,-2570,-2570,-2940
482,-2796,-3054,-3184
483,-3064,-3076,-3100
484,-2836,-2952,-2940
485,-2966,-2966,-3294
486,-2806,-2806,-3076
487,-2934,-3010,-2940
488,-2700,-2754,-3026
489,-2588,-2588,-2940
490,-2414,-2414,-3294
491,-3286,-3294,-3286
492,-2464,-2564,-2452
493,-2938,-2938,-2738
494,-2680,-2680,-3294
495,-2838,-2838,-3286
496,-2888,-2888,-2896
497,-3074,-3074,-2940
498,-3292,-3294,-3294
499,-3146,-3114,-2940
500,-3056,-3056,-2880
501,-2396,-2924,-2576
502,-3202,-3132,-2940
503,-2778,-2778,-3294
504,-2994,-2994,-3294
505,-3104,-3104,-3286
506,-2708,-2396,-3286
507,-3286,-3286,-3046
508,-2908,-2910,-2452
509,-3038,-3032,-3286
510,-3072,-3072,-3184
511,-2796,-2796,-3286
512,-3132,-3142,-3294
513,-2900,-2900,-2940
514,-3044,-3044,-2940
515,-3104,-3104,-3286
516,-3132,-3132,-3294
517,-3086,-3116,-2738
518,-2914,-2914,-3294
519,-3090,-3090,-2940
520,-2974,-2974,-3184
521,-3028,-3028,-2452
522,-2442,-2442,-2996
523,-2736,-2736,-3294
524,-2996,-2996,-3000
525,-2944,-2944,-3000
526,-2836,-2938,-2940
527,-2956,-2894,-2940
528,-2742,-2742,-3184
529,-3062,-3062,-2940
530,-3148,-2492,-2940
531,-2628,-2628,-3294
532,-3008,-2678,-2452
533,-2730,-2886,-2940
534,-2832,-2832,-2738
535,-2996,-2996,-2940
536,-2972,-2972,-2996
537,-2648,-2648,-3286
538,-2956,-2884,-3294
539,-2754,-2754,-2996
540,-2838,-2924,-2452
541,-2884,-2536,-2940
542,-2930,-2930,-3286
543,-2586,-2586,-2996
544,-3104,-2544,-3286
545,-2770,-2770,-2896
546,-2760,-2760,-3294
547,-2506,-2506,-2896
548,-3080,-3080,-2738
549,-2872,-2686,-2880
550,-2690,-2740,-2940
551,-2720,-2706,-2940
552,-2810,-2766,-2940
553,-3114,-3114,-2940
554,-2806,-3076,-3184
555,-3086,-3116,-3294
556,-2838,-2838,-3286
557,-2970,-2952,-3294
558,-3046,-3046,-3184
559,-2872,-2908,-2940
560,-2734,-2734,-3294
561,-2832,-2832,-2738
562,-2766,-2766,-3026
563,-3060,-2896,-2940
564,-2920,-3048,-3286
565,-3008,-2894,-3294
566,-2952,-3000,-2452
567,-2634,-2966,-2940
568,-3014,-2886,-3076
569,-3162,-3162,-2940
570,-3184,-3006,-2940
571,-3078,-3078,-2940
572,-2818,-3084,-2940
573,-2834,-2834,-2452
574,-2912,-2912,-3052
575,-3016,-3184,-2940
576,-3016,-2992,-2716
577,-2812,-2806,-3286
578,-3140,-3140,-3294
579,-2892,-2892,-2940
580,-2466,-2864,-2452
581,-3286,-3286,-2996
582,-3050,-3050,-3294
583,-3140,-2984,-2852
584,-2872,-2872,-2452
585,-2910,-3092,-3294
586,-2612,-2612,-3286
587,-3092,-2956,-2896
588,-3108,-2834,-2940
589,-3082,-3082,-2940
590,-3108,-3108,-2694
591,-2498,-2498,-2996
592,-2880,-2852,-3294
593,-3286,-3286,-3184
594,-2732,-2732,-2940
595,-2974,-2974,-3294
596,-2926,-2926,-3100
597,-3102,-3102,-2940
598,-2974,-2974,-2576
599,-2664,-2664,-2996
600,-2958,-3058,-3184
601,-2750,-2794,-3294
602,-3060,-3058,-2452
603,-3132,-3142,-2726
604,-2674,-2674,-3000
605,-2710,-2710,-2848
606,-3114,-3114,-2940
607,-2840,-2840,-2940
608,-2988,-3038,-3294
609,-2816,-2790,-3184
610,-2878,-2878,-2452
611,-3102,-3102,-3100
612,-2990,-2772,-3294
613,-3052,-3046,-2940
614,-2942,-2942,-3184
615,-2994,-2974,-3294
616,-2762,-2746,-3294
617,-3086,-3086,-3294
618,-2418,-2418,-3286
619,-2750,-2750,-3286
620,-2604,-2820,-3286
621,-3124,-3286,-2996
622,-3042,-2976,-3184
623,-3104,-3062,-3184
624,-3180,-3102,-3294
625,-2444,-2444,-3184
626,-2630,-2630,-3294
627,-2594,-2594,-2418
628,-3108,-3108,-2218
629,-3294,-3292,-3286
630,-3076,-3104,-3286
631,-2670,-2670,-2996
632,-3180,-3120,-3046
633,-2860,-3292,-2452
634,-3126,-3286,-3294
635,-2890,-2890,-2940
636,-2704,-3018,-3032
637,-3292,-3292,-2880
638,-2704,-2704,-3286
639,-2866,-2818,-2940
640,-3022,-3022,-2940
641,-3294,-3294,-3294
642,-2956,-2932,-2452
643,-3066,-3066,-2940
644,-3080,-2986,-3184
645,-2682,-2832,-2452
646,-3020,-3020,-3184
647,-2732,-2818,-2924
